run_id,total_pnl,realized_pnl,net_edge_bps,spread_capture_bps,rebate_bps,fill_rate_pct,round_trips,volume,sharpe,max_dd_pct,phase1_calm,phase1_mid,phase1_min,mid_impulse_lo,mid_impulse_hi,tight_spread_bps,mid_regime_size_mult,mp_edge_scale_enabled,mp_edge_scale_k_bps,mp_edge_scale_min_mult,mp_edge_scale_max_mult,elapsed_sec
mid_impulse_lo=0.6_mid_impulse_hi=0.9_tight_spread_bps=2.5_mid_regime_size_mult=0.8_impulse_phase1_calm=1.2_impulse_phase1_mid=0.8_impulse_phase1_min=0.6_impulse_phase1_sizing=true_directional_skew_enabled=false_directional_suppress_threshold_ticks=1.0_microprice_edge_threshold_bps=0.0_microprice_edge_size_scale_enabled=true_microprice_edge_scale_k_bps=0.003_microprice_edge_scale_min_mult=0.3_microprice_edge_scale_max_mult=1.0_impulse_kill_threshold_bps=1.0_impulse_kill_asymmetric=true_queue_join_safe_side_threshold_bps=0.45_queue_join_safe_side_max_touch_qty=30.0_state_passive_max_depth_ticks=2_base_spread=4.0,4117.1592192344178181542692,4116.5131100135174137127356149,0.0536,-0.6964,0.7500,10.08,300110,768636523.51197329025293473185,0.15,3.33,1.2,0.8,0.6,0.6,0.9,2.5,0.8,true,0.003,0.3,1,703.4
mid_impulse_lo=0.6_mid_impulse_hi=0.9_tight_spread_bps=2.5_mid_regime_size_mult=0.8_impulse_phase1_calm=1.2_impulse_phase1_mid=0.8_impulse_phase1_min=0.6_impulse_phase1_sizing=true_directional_skew_enabled=false_directional_suppress_threshold_ticks=1.0_microprice_edge_threshold_bps=0.0_microprice_edge_size_scale_enabled=true_microprice_edge_scale_k_bps=0.003_microprice_edge_scale_min_mult=0.4_microprice_edge_scale_max_mult=1.0_impulse_kill_threshold_bps=1.0_impulse_kill_asymmetric=true_queue_join_safe_side_threshold_bps=0.45_queue_join_safe_side_max_touch_qty=30.0_state_passive_max_depth_ticks=2_base_spread=4.0,696.9883747913925531350419,696.34226557049214869352152287,0.0084,-0.7416,0.7500,10.49,304214,829247970.9246055176075178813,-0.17,3.43,1.2,0.8,0.6,0.6,0.9,2.5,0.8,true,0.003,0.4,1,717.6
mid_impulse_lo=0.6_mid_impulse_hi=0.9_tight_spread_bps=2.5_mid_regime_size_mult=0.8_impulse_phase1_calm=1.2_impulse_phase1_mid=0.8_impulse_phase1_min=0.6_impulse_phase1_sizing=true_directional_skew_enabled=false_directional_suppress_threshold_ticks=1.0_microprice_edge_threshold_bps=0.0_microprice_edge_size_scale_enabled=true_microprice_edge_scale_k_bps=0.003_microprice_edge_scale_min_mult=0.5_microprice_edge_scale_max_mult=1.0_impulse_kill_threshold_bps=1.0_impulse_kill_asymmetric=true_queue_join_safe_side_threshold_bps=0.45_queue_join_safe_side_max_touch_qty=30.0_state_passive_max_depth_ticks=2_base_spread=4.0,2001.5134465815097507607844,2000.8673373606093463192529694,0.0228,-0.7272,0.7500,10.74,307609,878783863.6361001590153645874,-0.04,3.36,1.2,0.8,0.6,0.6,0.9,2.5,0.8,true,0.003,0.5,1,720.0
mid_impulse_lo=0.6_mid_impulse_hi=0.9_tight_spread_bps=2.5_mid_regime_size_mult=0.8_impulse_phase1_calm=1.2_impulse_phase1_mid=0.8_impulse_phase1_min=0.6_impulse_phase1_sizing=true_directional_skew_enabled=false_directional_suppress_threshold_ticks=1.0_microprice_edge_threshold_bps=0.0_microprice_edge_size_scale_enabled=true_microprice_edge_scale_k_bps=0.005_microprice_edge_scale_min_mult=0.3_microprice_edge_scale_max_mult=1.0_impulse_kill_threshold_bps=1.0_impulse_kill_asymmetric=true_queue_join_safe_side_threshold_bps=0.45_queue_join_safe_side_max_touch_qty=30.0_state_passive_max_depth_ticks=2_base_spread=4.0,4743.5862363176188168392072,4742.9401270967184123976765924,0.0631,-0.6869,0.7500,9.96,298941,751349220.09863533885446312904,0.22,3.38,1.2,0.8,0.6,0.6,0.9,2.5,0.8,true,0.005,0.3,1,727.9
mid_impulse_lo=0.6_mid_impulse_hi=0.9_tight_spread_bps=2.5_mid_regime_size_mult=0.8_impulse_phase1_calm=1.2_impulse_phase1_mid=0.8_impulse_phase1_min=0.6_impulse_phase1_sizing=true_directional_skew_enabled=false_directional_suppress_threshold_ticks=1.0_microprice_edge_threshold_bps=0.0_microprice_edge_size_scale_enabled=true_microprice_edge_scale_k_bps=0.005_microprice_edge_scale_min_mult=0.4_microprice_edge_scale_max_mult=1.0_impulse_kill_threshold_bps=1.0_impulse_kill_asymmetric=true_queue_join_safe_side_threshold_bps=0.45_queue_join_safe_side_max_touch_qty=30.0_state_passive_max_depth_ticks=2_base_spread=4.0,3321.2508230834073250772151,3320.6047138625069206356953674,0.0407,-0.7093,0.7500,10.41,303191,815137490.0736619596683456766,0.08,3.33,1.2,0.8,0.6,0.6,0.9,2.5,0.8,true,0.005,0.4,1,732.9
mid_impulse_lo=0.6_mid_impulse_hi=0.9_tight_spread_bps=2.5_mid_regime_size_mult=0.8_impulse_phase1_calm=1.2_impulse_phase1_mid=0.8_impulse_phase1_min=0.6_impulse_phase1_sizing=true_directional_skew_enabled=false_directional_suppress_threshold_ticks=1.0_microprice_edge_threshold_bps=0.0_microprice_edge_size_scale_enabled=true_microprice_edge_scale_k_bps=0.005_microprice_edge_scale_min_mult=0.5_microprice_edge_scale_max_mult=1.0_impulse_kill_threshold_bps=1.0_impulse_kill_asymmetric=true_queue_join_safe_side_threshold_bps=0.45_queue_join_safe_side_max_touch_qty=30.0_state_passive_max_depth_ticks=2_base_spread=4.0,2410.5227206702119089115648,2409.8766114493115044700477425,0.0278,-0.7222,0.7500,10.69,306898,868381883.3808223134591754988,0.00,3.33,1.2,0.8,0.6,0.6,0.9,2.5,0.8,true,0.005,0.5,1,708.4
mid_impulse_lo=0.6_mid_impulse_hi=0.9_tight_spread_bps=2.5_mid_regime_size_mult=0.8_impulse_phase1_calm=1.2_impulse_phase1_mid=0.8_impulse_phase1_min=0.6_impulse_phase1_sizing=true_directional_skew_enabled=false_directional_suppress_threshold_ticks=1.0_microprice_edge_threshold_bps=0.0_microprice_edge_size_scale_enabled=true_microprice_edge_scale_k_bps=0.01_microprice_edge_scale_min_mult=0.3_microprice_edge_scale_max_mult=1.0_impulse_kill_threshold_bps=1.0_impulse_kill_asymmetric=true_queue_join_safe_side_threshold_bps=0.45_queue_join_safe_side_max_touch_qty=30.0_state_passive_max_depth_ticks=2_base_spread=4.0,4500.9908855321735725104465,4500.3447763112731680689244210,0.0611,-0.6888,0.7500,9.92,297976,736014620.20976065570216584486,0.18,3.44,1.2,0.8,0.6,0.6,0.9,2.5,0.8,true,0.01,0.3,1,714.4
mid_impulse_lo=0.6_mid_impulse_hi=0.9_tight_spread_bps=2.5_mid_regime_size_mult=0.8_impulse_phase1_calm=1.2_impulse_phase1_mid=0.8_impulse_phase1_min=0.6_impulse_phase1_sizing=true_directional_skew_enabled=false_directional_suppress_threshold_ticks=1.0_microprice_edge_threshold_bps=0.0_microprice_edge_size_scale_enabled=true_microprice_edge_scale_k_bps=0.01_microprice_edge_scale_min_mult=0.4_microprice_edge_scale_max_mult=1.0_impulse_kill_threshold_bps=1.0_impulse_kill_asymmetric=true_queue_join_safe_side_threshold_bps=0.45_queue_join_safe_side_max_touch_qty=30.0_state_passive_max_depth_ticks=2_base_spread=4.0,3526.4632010697245306951743,3525.8170918488241262536472051,0.0438,-0.7062,0.7500,10.37,302426,805552050.8601036210014388882,0.08,3.35,1.2,0.8,0.6,0.6,0.9,2.5,0.8,true,0.01,0.4,1,725.0
mid_impulse_lo=0.6_mid_impulse_hi=0.9_tight_spread_bps=2.5_mid_regime_size_mult=0.8_impulse_phase1_calm=1.2_impulse_phase1_mid=0.8_impulse_phase1_min=0.6_impulse_phase1_sizing=true_directional_skew_enabled=false_directional_suppress_threshold_ticks=1.0_microprice_edge_threshold_bps=0.0_microprice_edge_size_scale_enabled=true_microprice_edge_scale_k_bps=0.01_microprice_edge_scale_min_mult=0.5_microprice_edge_scale_max_mult=1.0_impulse_kill_threshold_bps=1.0_impulse_kill_asymmetric=true_queue_join_safe_side_threshold_bps=0.45_queue_join_safe_side_max_touch_qty=30.0_state_passive_max_depth_ticks=2_base_spread=4.0,3617.4958328410932576411364,3616.8497236201928531996096214,0.0420,-0.7080,0.7500,10.67,306465,861526868.4603553341043817881,0.12,3.23,1.2,0.8,0.6,0.6,0.9,2.5,0.8,true,0.01,0.5,1,723.4
mid_impulse_lo=0.6_mid_impulse_hi=0.9_tight_spread_bps=2.5_mid_regime_size_mult=0.8_impulse_phase1_calm=1.2_impulse_phase1_mid=0.8_impulse_phase1_min=0.6_impulse_phase1_sizing=true_directional_skew_enabled=false_directional_suppress_threshold_ticks=1.0_microprice_edge_threshold_bps=0.0_microprice_edge_size_scale_enabled=true_microprice_edge_scale_k_bps=0.02_microprice_edge_scale_min_mult=0.3_microprice_edge_scale_max_mult=1.0_impulse_kill_threshold_bps=1.0_impulse_kill_asymmetric=true_queue_join_safe_side_threshold_bps=0.45_queue_join_safe_side_max_touch_qty=30.0_state_passive_max_depth_ticks=2_base_spread=4.0,5925.4952514972738483189499,5924.8491422763734438774330923,0.0816,-0.6684,0.7500,9.87,297294,726350851.67741116075553293343,0.31,3.51,1.2,0.8,0.6,0.6,0.9,2.5,0.8,true,0.02,0.3,1,769.2
