run_id,total_pnl,realized_pnl,net_edge_bps,spread_capture_bps,rebate_bps,fill_rate_pct,round_trips,volume,sharpe,max_dd_pct,phase1_calm,phase1_mid,phase1_min,mid_impulse_lo,mid_impulse_hi,tight_spread_bps,mid_regime_size_mult,mp_edge_scale_enabled,mp_edge_scale_k_bps,mp_edge_scale_min_mult,mp_edge_scale_max_mult,elapsed_sec
mid_impulse_lo=0.6_mid_impulse_hi=0.9_tight_spread_bps=2.5_mid_regime_size_mult=0.8_impulse_phase1_calm=1.2_impulse_phase1_mid=0.8_impulse_phase1_min=0.6_impulse_phase1_sizing=true_directional_skew_enabled=false_directional_suppress_threshold_ticks=1.0_microprice_edge_threshold_bps=0.0_microprice_edge_size_scale_enabled=false_microprice_edge_scale_k_bps=0.02_microprice_edge_scale_min_mult=0.3_microprice_edge_scale_max_mult=1.0_impulse_kill_threshold_bps=1.0_impulse_kill_asymmetric=true_queue_join_safe_side_threshold_bps=0.45_queue_join_safe_side_max_touch_qty=30.0_state_passive_max_depth_ticks=2_base_spread=4.0_spread_depth_prob_touch_p_good=0.85_spread_depth_prob_touch_p_neutral=0.5_spread_depth_prob_touch_p_bad=0.0,45832.0327742837443600107728,45825.914282460201983285844328,0.4467,-0.3033,0.7500,6.32,189676,1026102155.8561431083577778952,8.80,1.33,1.2,0.8,0.6,0.6,0.9,2.5,0.8,false,0.02,0.3,1,1345.6
mid_impulse_lo=0.6_mid_impulse_hi=0.9_tight_spread_bps=2.5_mid_regime_size_mult=0.8_impulse_phase1_calm=1.2_impulse_phase1_mid=0.8_impulse_phase1_min=0.6_impulse_phase1_sizing=true_directional_skew_enabled=false_directional_suppress_threshold_ticks=1.0_microprice_edge_threshold_bps=0.0_microprice_edge_size_scale_enabled=false_microprice_edge_scale_k_bps=0.02_microprice_edge_scale_min_mult=0.3_microprice_edge_scale_max_mult=1.0_impulse_kill_threshold_bps=1.0_impulse_kill_asymmetric=true_queue_join_safe_side_threshold_bps=0.45_queue_join_safe_side_max_touch_qty=30.0_state_passive_max_depth_ticks=2_base_spread=4.0_spread_depth_prob_touch_p_good=0.85_spread_depth_prob_touch_p_neutral=0.6_spread_depth_prob_touch_p_bad=0.0,54403.5981643227090791799330,54403.598164322709079179921458,0.4759,-0.2741,0.7500,7.27,221886,1143064140.9211200112272108887,12.52,1.17,1.2,0.8,0.6,0.6,0.9,2.5,0.8,false,0.02,0.3,1,1025.2
mid_impulse_lo=0.6_mid_impulse_hi=0.9_tight_spread_bps=2.5_mid_regime_size_mult=0.8_impulse_phase1_calm=1.2_impulse_phase1_mid=0.8_impulse_phase1_min=0.6_impulse_phase1_sizing=true_directional_skew_enabled=false_directional_suppress_threshold_ticks=1.0_microprice_edge_threshold_bps=0.0_microprice_edge_size_scale_enabled=false_microprice_edge_scale_k_bps=0.02_microprice_edge_scale_min_mult=0.3_microprice_edge_scale_max_mult=1.0_impulse_kill_threshold_bps=1.0_impulse_kill_asymmetric=true_queue_join_safe_side_threshold_bps=0.45_queue_join_safe_side_max_touch_qty=30.0_state_passive_max_depth_ticks=2_base_spread=4.0_spread_depth_prob_touch_p_good=0.85_spread_depth_prob_touch_p_neutral=0.7_spread_depth_prob_touch_p_bad=0.0,64133.7306154081293786932073,64133.730615408129378693203002,0.4922,-0.2578,0.7500,8.47,257560,1303111066.7019902978532166214,13.53,1.27,1.2,0.8,0.6,0.6,0.9,2.5,0.8,false,0.02,0.3,1,1059.8
mid_impulse_lo=0.6_mid_impulse_hi=0.9_tight_spread_bps=2.5_mid_regime_size_mult=0.8_impulse_phase1_calm=1.2_impulse_phase1_mid=0.8_impulse_phase1_min=0.6_impulse_phase1_sizing=true_directional_skew_enabled=false_directional_suppress_threshold_ticks=1.0_microprice_edge_threshold_bps=0.0_microprice_edge_size_scale_enabled=false_microprice_edge_scale_k_bps=0.02_microprice_edge_scale_min_mult=0.3_microprice_edge_scale_max_mult=1.0_impulse_kill_threshold_bps=1.0_impulse_kill_asymmetric=true_queue_join_safe_side_threshold_bps=0.45_queue_join_safe_side_max_touch_qty=30.0_state_passive_max_depth_ticks=2_base_spread=4.0_spread_depth_prob_touch_p_good=0.95_spread_depth_prob_touch_p_neutral=0.5_spread_depth_prob_touch_p_bad=0.0,46954.5135451553756187645086,46948.395053331833242039578432,0.4573,-0.2927,0.7500,6.33,189901,1026766151.4987908993398776420,8.98,1.33,1.2,0.8,0.6,0.6,0.9,2.5,0.8,false,0.02,0.3,1,1070.1
mid_impulse_lo=0.6_mid_impulse_hi=0.9_tight_spread_bps=2.5_mid_regime_size_mult=0.8_impulse_phase1_calm=1.2_impulse_phase1_mid=0.8_impulse_phase1_min=0.6_impulse_phase1_sizing=true_directional_skew_enabled=false_directional_suppress_threshold_ticks=1.0_microprice_edge_threshold_bps=0.0_microprice_edge_size_scale_enabled=false_microprice_edge_scale_k_bps=0.02_microprice_edge_scale_min_mult=0.3_microprice_edge_scale_max_mult=1.0_impulse_kill_threshold_bps=1.0_impulse_kill_asymmetric=true_queue_join_safe_side_threshold_bps=0.45_queue_join_safe_side_max_touch_qty=30.0_state_passive_max_depth_ticks=2_base_spread=4.0_spread_depth_prob_touch_p_good=0.95_spread_depth_prob_touch_p_neutral=0.6_spread_depth_prob_touch_p_bad=0.0,55411.3918622233930184119202,55411.391862223393018411903386,0.4833,-0.2667,0.7500,7.32,223367,1146466731.7323288601569154086,12.76,1.18,1.2,0.8,0.6,0.6,0.9,2.5,0.8,false,0.02,0.3,1,1050.8
mid_impulse_lo=0.6_mid_impulse_hi=0.9_tight_spread_bps=2.5_mid_regime_size_mult=0.8_impulse_phase1_calm=1.2_impulse_phase1_mid=0.8_impulse_phase1_min=0.6_impulse_phase1_sizing=true_directional_skew_enabled=false_directional_suppress_threshold_ticks=1.0_microprice_edge_threshold_bps=0.0_microprice_edge_size_scale_enabled=false_microprice_edge_scale_k_bps=0.02_microprice_edge_scale_min_mult=0.3_microprice_edge_scale_max_mult=1.0_impulse_kill_threshold_bps=1.0_impulse_kill_asymmetric=true_queue_join_safe_side_threshold_bps=0.45_queue_join_safe_side_max_touch_qty=30.0_state_passive_max_depth_ticks=2_base_spread=4.0_spread_depth_prob_touch_p_good=0.95_spread_depth_prob_touch_p_neutral=0.7_spread_depth_prob_touch_p_bad=0.0,63222.4425762342039338800919,63222.442576234203933880082564,0.4856,-0.2644,0.7500,8.53,259368,1301985864.0186001320103226350,13.23,1.43,1.2,0.8,0.6,0.6,0.9,2.5,0.8,false,0.02,0.3,1,1034.6
mid_impulse_lo=0.6_mid_impulse_hi=0.9_tight_spread_bps=2.5_mid_regime_size_mult=0.8_impulse_phase1_calm=1.2_impulse_phase1_mid=0.8_impulse_phase1_min=0.6_impulse_phase1_sizing=true_directional_skew_enabled=false_directional_suppress_threshold_ticks=1.0_microprice_edge_threshold_bps=0.0_microprice_edge_size_scale_enabled=false_microprice_edge_scale_k_bps=0.02_microprice_edge_scale_min_mult=0.3_microprice_edge_scale_max_mult=1.0_impulse_kill_threshold_bps=1.0_impulse_kill_asymmetric=true_queue_join_safe_side_threshold_bps=0.45_queue_join_safe_side_max_touch_qty=30.0_state_passive_max_depth_ticks=2_base_spread=4.0_spread_depth_prob_touch_p_good=0.85_spread_depth_prob_touch_p_neutral=0.5_spread_depth_prob_touch_p_bad=0.05,47708.4651496383428471583158,47702.346657814800470433392054,0.4138,-0.3362,0.7500,7.20,218323,1152901259.4422114962438547652,9.80,1.07,1.2,0.8,0.6,0.6,0.9,2.5,0.8,false,0.02,0.3,1,1030.6
mid_impulse_lo=0.6_mid_impulse_hi=0.9_tight_spread_bps=2.5_mid_regime_size_mult=0.8_impulse_phase1_calm=1.2_impulse_phase1_mid=0.8_impulse_phase1_min=0.6_impulse_phase1_sizing=true_directional_skew_enabled=false_directional_suppress_threshold_ticks=1.0_microprice_edge_threshold_bps=0.0_microprice_edge_size_scale_enabled=false_microprice_edge_scale_k_bps=0.02_microprice_edge_scale_min_mult=0.3_microprice_edge_scale_max_mult=1.0_impulse_kill_threshold_bps=1.0_impulse_kill_asymmetric=true_queue_join_safe_side_threshold_bps=0.45_queue_join_safe_side_max_touch_qty=30.0_state_passive_max_depth_ticks=2_base_spread=4.0_spread_depth_prob_touch_p_good=0.85_spread_depth_prob_touch_p_neutral=0.6_spread_depth_prob_touch_p_bad=0.05,61225.5272808293404490402276,61225.527280829340449040222312,0.4666,-0.2834,0.7500,8.45,258828,1312076191.5280916139003700926,12.61,0.96,1.2,0.8,0.6,0.6,0.9,2.5,0.8,false,0.02,0.3,1,1051.0
mid_impulse_lo=0.6_mid_impulse_hi=0.9_tight_spread_bps=2.5_mid_regime_size_mult=0.8_impulse_phase1_calm=1.2_impulse_phase1_mid=0.8_impulse_phase1_min=0.6_impulse_phase1_sizing=true_directional_skew_enabled=false_directional_suppress_threshold_ticks=1.0_microprice_edge_threshold_bps=0.0_microprice_edge_size_scale_enabled=false_microprice_edge_scale_k_bps=0.02_microprice_edge_scale_min_mult=0.3_microprice_edge_scale_max_mult=1.0_impulse_kill_threshold_bps=1.0_impulse_kill_asymmetric=true_queue_join_safe_side_threshold_bps=0.45_queue_join_safe_side_max_touch_qty=30.0_state_passive_max_depth_ticks=2_base_spread=4.0_spread_depth_prob_touch_p_good=0.85_spread_depth_prob_touch_p_neutral=0.7_spread_depth_prob_touch_p_bad=0.05,76876.3235087809256197337515,76876.323508780925619733753316,0.5224,-0.2276,0.7500,9.84,300277,1471665070.7155581726711464709,14.65,0.97,1.2,0.8,0.6,0.6,0.9,2.5,0.8,false,0.02,0.3,1,1070.3
mid_impulse_lo=0.6_mid_impulse_hi=0.9_tight_spread_bps=2.5_mid_regime_size_mult=0.8_impulse_phase1_calm=1.2_impulse_phase1_mid=0.8_impulse_phase1_min=0.6_impulse_phase1_sizing=true_directional_skew_enabled=false_directional_suppress_threshold_ticks=1.0_microprice_edge_threshold_bps=0.0_microprice_edge_size_scale_enabled=false_microprice_edge_scale_k_bps=0.02_microprice_edge_scale_min_mult=0.3_microprice_edge_scale_max_mult=1.0_impulse_kill_threshold_bps=1.0_impulse_kill_asymmetric=true_queue_join_safe_side_threshold_bps=0.45_queue_join_safe_side_max_touch_qty=30.0_state_passive_max_depth_ticks=2_base_spread=4.0_spread_depth_prob_touch_p_good=0.95_spread_depth_prob_touch_p_neutral=0.5_spread_depth_prob_touch_p_bad=0.05,48803.5330820374952942693980,48797.414590213952917544474958,0.4229,-0.3271,0.7500,7.21,218585,1154038801.0854866390242518670,9.98,1.08,1.2,0.8,0.6,0.6,0.9,2.5,0.8,false,0.02,0.3,1,1051.8
